date,ticker,close,volume
2023-12-01,AAA,95,10000
2023-12-04,AAA,96,11000
2023-12-05,AAA,97,10500
2023-12-06,AAA,98,10750
2023-12-07,AAA,99,10300
2023-12-08,AAA,100,12000
2023-12-01,BBB,48,8000
2023-12-04,BBB,49,8200
2023-12-05,BBB,50,8300
2023-12-06,BBB,51,8400
2023-12-07,BBB,52,8500
2023-12-08,BBB,53,8600
2024-01-02,AAA,100,10000
2024-01-03,AAA,101,12000
2024-01-04,AAA,102,11000
2024-01-05,AAA,100,15000
2024-01-02,BBB,50,8000
2024-01-03,BBB,51,9000
2024-01-04,BBB,49,9500
2024-01-05,BBB,50,9800
