date,rnet,cost,rgross
2024-03-29,-0.0006033599544036372,0.0,-0.0006033599544036372
2024-04-01,0.004363775783867707,0.0,0.004363775783867707
2024-04-02,0.0010819232573977544,0.0,0.0010819232573977544
2024-04-03,0.0032606926989195983,0.0,0.0032606926989195983
2024-04-04,0.0022313113737717494,0.0,0.0022313113737717494
2024-04-05,-0.0014093909391129644,0.0,-0.0014093909391129644
2024-04-08,0.002125856661230774,0.0,0.002125856661230774
2024-04-09,-0.0004497863534974611,0.0,-0.0004497863534974611
2024-04-10,-0.00046716734847684904,0.0,-0.00046716734847684904
2024-04-11,0.0007915019560114089,0.0,0.0007915019560114089
2024-04-12,-0.004077791219556981,0.001,-0.003077791219556981
