date,AAA,BBB
2024-03-28,1.0122216610410166,0.9935891032482589
2024-03-29,1.0226502712738914,0.9952416518112635
2024-04-01,1.0386244068001032,0.988971933811536
2024-04-02,1.0356976166436993,0.9926090672544267
2024-04-03,1.0131456003765387,1.0011248732732585
2024-04-04,1.0290685045745271,1.0127059538163494
2024-04-05,1.037144321817606,1.0115314387876608
2024-04-08,1.0507506412733545,1.02269905562275
2024-04-09,1.055191332507905,1.0230581693684404
2024-04-10,1.0516905572287303,1.0107790958410852
2024-04-11,1.0649022020784715,0.9891277640107294
2024-04-12,1.0612799655021787,0.991050431247585
