date,ticker,w_prev,w_new,turnover_piece,cost
2024-02-12,AAA,0.0,1.0,1.0,0.0005
2024-02-27,AAA,1.0,0.0,1.0,0.0005
2024-02-27,NVDA,0.0,1.0,1.0,0.0005
2024-02-28,NVDA,1.0,0.0,1.0,0.0005
2024-02-28,TSLA,0.0,1.0,1.0,0.0005
2024-02-29,AMD,0.0,1.0,1.0,0.0005
2024-02-29,TSLA,1.0,0.0,1.0,0.0005
2024-03-06,AMD,1.0,0.0,1.0,0.0005
2024-03-06,NVDA,0.0,1.0,1.0,0.0005
2024-03-08,AMD,0.0,1.0,1.0,0.0005
2024-03-08,NVDA,1.0,0.0,1.0,0.0005
2024-03-12,AMD,1.0,0.0,1.0,0.0005
2024-03-12,NVDA,0.0,1.0,1.0,0.0005
2024-03-18,GOOGL,0.0,1.0,1.0,0.0005
2024-03-18,NVDA,1.0,0.0,1.0,0.0005
2024-03-25,GOOGL,1.0,0.0,1.0,0.0005
2024-03-25,NVDA,0.0,1.0,1.0,0.0005
2024-03-26,GOOGL,0.0,1.0,1.0,0.0005
2024-03-26,NVDA,1.0,0.0,1.0,0.0005
2024-03-28,GOOGL,1.0,0.0,1.0,0.0005
2024-03-28,TSLA,0.0,1.0,1.0,0.0005
2024-04-01,GOOGL,0.0,1.0,1.0,0.0005
2024-04-01,TSLA,1.0,0.0,1.0,0.0005
2024-04-02,AVGO,0.0,1.0,1.0,0.0005
2024-04-02,GOOGL,1.0,0.0,1.0,0.0005
2024-04-05,AMZN,0.0,1.0,1.0,0.0005
2024-04-05,AVGO,1.0,0.0,1.0,0.0005
2024-04-09,AMZN,1.0,0.0,1.0,0.0005
2024-04-09,GOOGL,0.0,1.0,1.0,0.0005
2024-04-10,GOOGL,1.0,0.0,1.0,0.0005
2024-04-10,META,0.0,1.0,1.0,0.0005
