date,AAA,BBB,CCC
2024-03-01,0.23490246393695924,0.4279304336971608,0.33716710236588
2024-03-04,0.13686705374208757,0.7849408011075419,0.07819214515037058
2024-03-05,0.11236359117445735,0.7924533305379677,0.09518307828757491
2024-03-06,0.7461091955484561,0.11003347991341338,0.1438573245381305
2024-03-07,0.25532707108967984,0.4124136164944413,0.3322593124158788
2024-03-08,0.27894460361997936,0.23703782523108619,0.48401757114893446
2024-03-11,0.36001699909074886,0.1655310963581598,0.4744519045510913
2024-03-12,0.31199822303646546,0.13637174518441825,0.5516300317791163
2024-03-13,0.4345729408374366,0.2467186635717792,0.3187083955907842
2024-03-14,0.22502339500515148,0.14047313684225035,0.6345034681525982
2024-03-15,0.20888233390553912,0.3426568273539359,0.448460838740525
2024-03-18,0.3574855506125892,0.38573582959346436,0.25677861979394645
2024-03-19,0.10217234528972191,0.5732810028222436,0.3245466518880345
2024-03-20,0.15356473227911724,0.4625690770244697,0.38386619069641315
2024-03-21,0.39817993114944283,0.5297120308129527,0.07210803803760442
2024-03-22,0.3398037948624216,0.5221796524016574,0.13801655273592106
2024-03-25,0.3058364860931056,0.13938456208384278,0.5547789518230515
2024-03-26,0.3818494583295401,0.07383438637065913,0.5443161552998008
2024-03-27,0.08891502035872392,0.8453121277427845,0.06577285189849154
2024-03-28,0.38402261552080047,0.44591776412501116,0.17005962035418842
2024-03-29,0.04987367943884218,0.1258724356959108,0.824253884865247
2024-04-01,0.12000440859986475,0.12023984796332597,0.7597557434368093
2024-04-02,0.2732507286677742,0.3366892372122701,0.39006003411995566
2024-04-03,0.14955215264828434,0.4198045893265342,0.4306432580251816
2024-04-04,0.3070529102124115,0.12064530560658422,0.5723017841810043
2024-04-05,0.18536013923483588,0.38134203263889194,0.4332978281262721
2024-04-08,0.08053455655789601,0.28200100937875056,0.6374644340633534
2024-04-09,0.5961547307854339,0.2385226567533553,0.1653226124612108
2024-04-10,0.005668631360929962,0.18156545437821192,0.8127659142608582
2024-04-11,0.32445187495847444,0.2606816945749679,0.4148664304665576
2024-04-12,0.5306921315471261,0.29308709357475154,0.17622077487812232
