date,AAA,BBB
2024-03-28,-0.008602801935850233,0.005194931990183601
2024-03-29,-0.012651437175495219,-0.02159139011296343
2024-04-01,0.00434733949991724,0.017332893199459017
2024-04-02,0.005201341562355201,-0.010021657937544401
2024-04-03,0.0026834554039213577,0.0076717470048009604
2024-04-04,0.011912720267866573,-0.011574108072969483
2024-04-05,0.006962793952555424,0.003513836857921296
2024-04-08,-0.00032415083011257616,0.00013181579118739722
2024-04-09,-0.0067924996969511275,-0.006205320275267294
2024-04-10,0.0133121421656793,0.002588385127676746
2024-04-11,-0.004814839171196073,-0.024917896182982513
2024-04-12,-0.008765637740699862,-0.005055091274868608
