date,rnet,cost,rgross
2024-03-29,-0.0008872532801376121,0.0,-0.0008872532801376121
2024-04-01,0.004907738414512419,0.0,0.004907738414512419
2024-04-02,0.001078910466964178,0.0,0.001078910466964178
2024-04-03,0.0036208081487394406,0.0,0.0036208081487394406
2024-04-04,0.0024198632694003575,0.0,0.0024198632694003575
2024-04-05,-0.0018276227622984198,0.0,-0.0018276227622984198
2024-04-08,0.002296832771436108,0.0,0.002296832771436108
2024-04-09,-0.0007080840790802956,0.0,-0.0007080840790802956
2024-04-10,-0.0007283619065563407,0.0,-0.0007283619065563407
2024-04-11,0.0007400856153465529,0.0,0.0007400856153465529
2024-04-12,-0.004940756422816217,0.001,-0.003940756422816217
