date,AAA,BBB,CCC
2024-03-28,1.0122216610410166,0.9935891032482589,1.0103026941965947
2024-03-29,1.0139051994835446,1.0091092937165838,1.0039380962364415
2024-04-01,1.0110480667819188,1.012820486152109,0.9820776343470756
2024-04-02,1.0197220649313061,1.028738280756129,0.993438375136339
2024-04-03,1.027724534153241,1.0275451717724382,1.0064713153042184
2024-04-04,1.0390709277198114,1.0318877918557958,1.0068247307904084
2024-04-05,1.0356236346033818,1.0195027423566072,1.019472757985965
2024-04-08,1.0134401218492932,1.0160349308375896,1.0214544098432525
2024-04-09,1.0224585348109463,1.0342388348428264,1.0319071956796866
2024-04-10,1.0197845866694435,1.0420796844641613,1.0191982233873784
2024-04-11,1.034672814739464,1.040761710798254,1.0126370415678168
2024-04-12,1.028371035454867,1.0404353141083833,1.0089633470606503
