Meta_Version,date,ticker,weight
OroTitan_Data_v1.0,2018-01-05,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-05,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-05,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-05,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-05,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-05,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-05,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-05,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-05,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-05,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-08,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-08,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-08,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-08,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-08,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-08,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-08,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-08,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-08,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-08,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-09,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-09,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-09,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-09,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-09,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-09,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-09,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-09,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-09,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-09,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-10,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-10,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-10,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-10,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-10,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-10,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-10,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-10,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-10,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-10,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-11,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-11,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-11,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-11,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-11,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-11,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-11,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-11,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-11,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-11,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-12,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-12,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-12,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-12,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-12,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-12,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-12,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-12,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-12,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-12,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-15,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-15,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-15,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-15,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-15,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-15,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-15,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-15,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-15,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-15,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-16,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-16,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-16,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-16,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-16,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-16,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-16,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-16,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-16,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-16,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-17,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-17,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-17,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-17,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-17,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-17,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-17,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-17,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-17,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-17,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-18,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-18,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-18,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-18,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-18,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-18,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-18,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-18,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-18,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-18,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-19,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-19,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-19,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-19,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-19,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-19,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-19,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-19,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-19,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-19,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-22,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-22,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-22,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-22,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-22,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-22,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-22,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-22,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-22,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-22,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-23,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-23,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-23,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-23,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-23,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-23,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-23,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-23,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-23,SU.PA,0.1
OroTitan_Data_v1.0,2018-01-23,TTE.PA,0.1
OroTitan_Data_v1.0,2018-01-24,AI.PA,0.1
OroTitan_Data_v1.0,2018-01-24,ASML.AS,0.1
OroTitan_Data_v1.0,2018-01-24,DSY.PA,0.1
OroTitan_Data_v1.0,2018-01-24,ENX.PA,0.1
OroTitan_Data_v1.0,2018-01-24,GTT.PA,0.1
OroTitan_Data_v1.0,2018-01-24,IPN.PA,0.1
OroTitan_Data_v1.0,2018-01-24,MC.PA,0.1
OroTitan_Data_v1.0,2018-01-24,OR.PA,0.1
OroTitan_Data_v1.0,2018-01-24,SU.PA,0.1
